Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Player-additional
1,Patrick Mahomes,KAN,27,QB,12,12,9-3-0,308,469,65.7,3808,30,6.4,8,1.7,201,57,8.1,8.6,12.4,317.3,104.9,78.5,19,130,3.9,7.54,8.03,2,2,MahoPa00
2,Joe Burrow,CIN,26,QB,12,12,8-4-0,304,440,69.1,3446,25,5.7,8,1.8,164,60,7.8,8.2,11.3,287.2,103.7,59.0,34,221,7.2,6.80,7.10,3,4,BurrJo01
3,Josh Allen,BUF,26,QB,12,12,9-3-0,284,443,64.1,3406,25,5.6,11,2.5,171,98,7.7,7.7,12.0,283.8,96.0,75.1,25,120,5.3,7.02,7.03,2,3,AlleJo02
4,Justin Herbert,LAC,24,QB,12,12,6-6-0,340,510,66.7,3339,20,3.9,7,1.4,164,54,6.5,6.7,9.8,278.3,92.3,56.6,26,140,4.9,5.97,6.13,4,4,HerbJu00
5,Tom Brady,TAM,45,QB,12,12,6-6-0,347,524,66.2,3332,16,3.1,3,0.6,168,51,6.4,6.7,9.6,277.7,91.6,52.2,18,131,3.3,5.91,6.25,2,3,BradTo00
6,Geno Smith,SEA,32,QB,12,12,7-5-0,285,392,72.7,3169,22,5.6,6,1.5,153,54,8.1,8.5,11.1,264.1,108.7,64.9,31,236,7.3,6.93,7.34,1,2,SmitGe00
7,Derek Carr,LVR,31,QB,13,13,5-8-0,269,434,62.0,3117,20,4.6,10,2.3,142,60,7.2,7.1,11.6,239.8,89.4,59.1,21,140,4.6,6.54,6.43,3,3,CarrDe02
8,Jared Goff,DET,28,QB,12,12,5-7-0,263,405,64.9,3022,19,4.7,7,1.7,154,81,7.5,7.6,11.5,251.8,95.7,60.5,19,123,4.5,6.84,6.99,1,1,GoffJa00
9,Jalen Hurts,PHI,24,QB,12,12,11-1-0,243,357,68.1,2940,20,5.6,3,0.8,133,54,8.2,9.0,12.1,245.0,108.3,69.2,30,170,7.8,7.16,7.84,1,2,HurtJa00
10,Kirk Cousins,MIN,34,QB,12,12,10-2-0,290,449,64.6,2933,18,4.0,9,2.0,153,64,6.5,6.4,10.1,244.4,88.1,51.6,30,222,6.3,5.66,5.57,6,6,CousKi00
11,Matt Ryan,IND,37,QB,11,11,4-6-1,290,428,67.8,2875,13,3.0,13,3.0,145,45,6.7,6.0,9.9,261.4,84.0,44.9,35,275,7.6,5.62,4.91,5,4,RyanMa00
12,Aaron Rodgers,GNB,39,QB,13,13,5-8-0,272,423,64.3,2864,22,5.2,9,2.1,133,58,6.8,6.9,10.5,220.3,92.4,41.9,24,187,5.4,5.99,6.07,3,3,RodgAa00
13,Tua Tagovailoa,MIA,24,QB,10,10,8-2-0,216,317,68.1,2859,21,6.6,5,1.6,137,75,9.0,9.6,13.2,285.9,112.0,77.4,15,112,4.5,8.27,8.86,2,2,TagoTu00
14,Trevor Lawrence,JAX,23,QB,12,12,4-8-0,273,416,65.6,2834,17,4.1,6,1.4,147,49,6.8,7.0,10.4,236.2,92.8,53.8,23,149,5.2,6.12,6.28,2,2,LawrTr00
15,Jacoby Brissett,CLE,30,QB,12,11,4-7-0,236,368,64.1,2608,12,3.3,6,1.6,129,55,7.1,7.0,11.1,217.3,89.1,60.4,24,160,6.1,6.24,6.17,2,2,BrisJa00
16,Russell Wilson,DEN,34,QB,11,11,3-8-0,215,358,60.1,2558,8,2.2,5,1.4,105,67,7.1,7.0,11.9,232.5,83.5,35.0,37,230,9.4,5.89,5.73,3,3,WilsRu00
17,Jimmy Garoppolo,SFO,31,QB,11,10,7-3-0,207,308,67.2,2437,16,5.2,4,1.3,114,57,7.9,8.4,11.8,221.5,103.0,53.5,18,100,5.5,7.17,7.60,1,1,GaroJi00
